Trial-ID,Status,Iteration,lr_scaler,max_depth,n_estimators,subsample,Objective,test_mse
17549,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,13.172670688619627,11.873715229566331
17548,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,14.380509200587378,13.275732799207946
17547,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,12.626308821250875,12.889240421157849
17546,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,12.417689224367964,13.401011988555105
17545,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,12.574508061713953,15.178198641617104
17544,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,14.119414775200644,12.845279548002324
17543,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,13.520364918475456,13.514664517424011
17542,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,12.993987329576207,13.16594330057568
17561,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,12.8114341590529,12.906143742566602
17560,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,11.93091695163549,13.856938820801073
17559,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,12.83491012351206,12.160347069707726
17558,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,12.74310660717242,12.069445367456566
17557,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,14.840059124909216,15.213430941087715
17556,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,15.628569737302715,15.12254194530798
17555,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,13.499998304687981,15.378048886729042
17554,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,12.114356713390169,11.610228652623034
17553,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,14.398162245904192,13.526563027299604
17552,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,13.5304010536444,12.678809088882833
17571,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,12.087102971997378,11.167328487614284
17570,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,13.138674324405198,14.183929167485935
17569,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,13.150835390541832,12.930650357752096
17568,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,13.795656927491107,14.528284729054251
17567,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,12.287048300191719,13.293626133548393
17566,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,12.53632440876024,11.073760660089619
17565,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,12.36236395166538,13.10629653657185
17564,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,14.62000650167976,13.575516090724975
17563,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,14.676711759010132,11.555317394685693
17562,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,13.56451355742727,14.542378075237627
17581,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,14.948852871290887,11.578089378975525
17580,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,14.978295987411395,10.334408708971534
17579,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,12.77727216778577,11.623127600488312
17578,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,12.182413162916315,10.592192806753996
17577,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,10.191841033583128,10.075011203444065
17576,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,12.817553398144375,8.94132985671328
17575,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,12.627318082702574,11.519818131642056
17574,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,12.163503684654984,13.07802806850158
17573,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,13.120789817846873,13.501531491021991
17572,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,12.172730407581115,12.875151691084067
17591,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,10.54466454353093,9.38910743160264
17590,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,11.3727552773613,10.275720742991
17589,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,12.599545529736865,9.845965690785778
17588,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,12.613737245328364,10.590496389887273
17587,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,10.995607252853368,10.017481681132901
17586,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,13.237817109388079,10.085994729482127
17585,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,10.678548770150917,9.356571249145276
17584,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,11.562380554037869,9.127212282243793
17583,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,11.967789228863506,10.233139892587603
17582,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,12.638614040638414,12.352977593035718
17601,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,12.53072110821506,8.961830372826059
17600,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,12.748006389333804,9.189772061895901
17599,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,11.626766424924087,8.284496293847537
17598,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,12.606303510405668,9.625545346900317
17597,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,12.03283258608428,10.35928828243924
17596,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,13.37522830276949,11.144485440688676
17595,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,14.397359676160695,10.33541602304931
17594,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,14.133870346600368,10.229697857470148
17593,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,11.146518805705012,10.661824022790938
17592,COMPLETED,1,1.1689972201498533,6,139,0.5781275909894541,10.443851675183387,10.550449040691028
17611,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,14.06379503802046,9.790851486119024
